"branch_id","month","Total_Revenue_from_AppCard_Transactions","Total_Revenue_from_Non_AppCard_Transactions"
"127","02/2012","114.32","114.32"
"127","02/2013","0","11198.74"
"127","03/2013","321.86","47089.03"
"127","04/2013","126.84","58502.73"
"127","05/2013","212.03","66028.54"
"127","06/2013","19519.16","33853.52"
"127","07/2013","27866.42","29559.95"
"127","08/2013","16249.19","48922.5"
"127","09/2013","25461.25","36095.37"
"127","10/2013","31587.83","29772.53"
"127","11/2013","27846.71","33139.51"
"127","12/2013","34477.33","99757.28"
"127","01/2014","17262.07","29882.46"
"127","02/2014","25470.59","34952.72"
"127","03/2014","24563.79","42445.94"
"127","04/2014","18763.36","37139.45"
"127","05/2014","22891.8","60859.4"
"127","06/2014","22561.02","44578.73"
"127","07/2014","28396.74","34883.48"
"127","08/2014","23858.31","38362.07"
"127","09/2014","10271.12","37285.16"
"127","10/2014","19930.86","36369.73"
"127","11/2014","13169.86","39703.73"
"127","12/2014","40339.82","79236.85"
"127","01/2015","18139.06","21987.48"
"127","02/2015","19254.56","27836.99"
"127","03/2015","27049.14","20083.03"
"127","04/2015","27165.88","23526.83"
"127","05/2015","30277.32","32059.98"
"127","06/2015","29500.62","24899.74"
"127","07/2015","28627.88","31414.38"
"127","08/2015","17505.26","43211.04"
"127","09/2015","23614.56","39210.05"
"127","10/2015","12512.01","37877.76"
"127","11/2015","26028.28","25936.89"
"127","12/2015","5200.47","13814.32"
"129","10/2012","0","101.43"
"129","02/2013","0","15480.34"
"129","03/2013","0","180487.85"
"129","04/2013","0","496551.99"
"129","05/2013","630.95","313316.4"
"129","06/2013","7626.63","48878.01"
"129","07/2013","213.39","1751.98"
"129","08/2013","39.5","14215.44"
"129","09/2013","4539.27","30644.35"
"129","10/2013","7602.2","21716.9"
"129","11/2013","12539.16","48415.72"
"129","12/2013","36167.85","113321.75"
"129","01/2014","5004.55","41607.58"
"129","02/2014","6186.02","58206.03"
"129","03/2014","8281.33","58514.54"
"129","04/2014","8026.91","62265.61"
"129","05/2014","7756.04","67867.94"
"129","06/2014","7133.87","65088.32"
"129","07/2014","12830.84","48255.86"
"129","08/2014","21159.86","37412.6"
"129","09/2014","13750.67","38137.86"
"129","10/2014","15421.63","32216.18"
"129","11/2014","17976.94","39637.24"
"129","12/2014","59945.47","70960.17"
"129","01/2015","19474.29","23579.2"
"129","02/2015","27797.31","24067.1"
"129","03/2015","30710.7","25799.5"
"129","04/2015","22328.47","33957.79"
"129","05/2015","18325.83","58005.29"
"129","06/2015","10277.75","34822.46"
"129","07/2015","809.6","2905.06"
"129","08/2015","6923.4","19261.33"
"129","09/2015","8779.6","39071.31"
"129","10/2015","7632.65","43656.87"
"129","11/2015","12929.27","42509.13"
"129","12/2015","7206.79","13751.38"
"130","02/2013","0","18321.08"
"130","03/2013","0","45702.39"
"130","04/2013","0","4065.09"
"130","05/2013","258.04","27130.56"
"130","06/2013","3669.42","55071.82"
"130","07/2013","13022.07","45846.43"
"130","08/2013","24220.54","47613.29"
"130","09/2013","18255.56","39811.79"
"130","10/2013","21368.38","48070.42"
"130","11/2013","28218.41","49927.67"
"130","12/2013","39557.96","132474.75"
"130","01/2014","15018.62","45186.67"
"130","02/2014","12931.17","46991.45"
"130","03/2014","14394.13","51130.21"
"130","04/2014","15077.28","61426.32"
"130","05/2014","15796.67","69105.67"
"130","06/2014","10422.4","44962.54"
"130","07/2014","8665.93","54088.71"
"130","08/2014","11448.23","46485.86"
"130","09/2014","6249.11","46741.95"
"130","10/2014","18405.96","45895.46"
"130","11/2014","23855.78","41754.59"
"130","12/2014","88484.63","48965.31"
"130","01/2015","25723.29","18842.44"
"130","02/2015","34561.75","22608.53"
"130","03/2015","16326.67","13743.18"
"130","04/2015","18257.77","29526.05"
"130","05/2015","22422.28","63292.34"
"130","06/2015","8526.35","53131.89"
"130","07/2015","9395.01","51329.73"
"130","08/2015","8848.58","66769.98"
"130","09/2015","11074.97","38282.41"
"130","10/2015","0","-20.68"
"130","11/2015","8390.03","34386.46"
"130","12/2015","5618.86","19699.69"
"131","10/2012","0","2.66"
"131","02/2013","0","26631.12"
"131","03/2013","0","11000.05"
"131","05/2013","579.44","67860.22"
"131","06/2013","7331.49","71711.35"
"131","07/2013","12822.03","103211.38"
"131","08/2013","9856.25","124734.83"
"131","09/2013","15995.06","102498.89"
"131","10/2013","7536.56","107539.53"
"131","11/2013","7936.22","113219.9"
"131","12/2013","14407.43","215824.34"
"131","01/2014","5039.94","74794.69"
"131","02/2014","38.07","9697.63"
